firstname,lastname,email,address,city,cp,country,latitude,longitude
Dominic,Sylvia,Aenean.massa.Integer@eu.com,"Ap #767-9969 Non, St.",Saint-Urbain,26368-537,Latvia,72.6471,-109.58768
Fitzgerald,Hilda,Sed@posuerecubilia.co.uk,"4526 Amet, Avenue",Deerlijk,32002,Morocco,89.69327,178.57104
Shana,Karly,egestas@tempordiamdictum.co.uk,8623 Eget St.,Campbelltown,94741,United States,-66.31908,9.51071
Ina,Mollie,pretium@velitjusto.co.uk,Ap #835-7954 Integer Av.,Chandler,Y8V 3Y6,Kuwait,39.85778,-49.94565
Xena,Inez,elit.dictum.eu@ornaretortorat.edu,Ap #349-3913 Sed Av.,Cumbernauld,38594-121,Monaco,61.72066,150.7011
Murphy,Dacey,Mauris@cursusNunc.org,6962 Donec Rd.,Mathura,38177,Solomon Islands,-10.13056,178.04572
Hilda,Georgia,sagittis.felis@fringilla.org,3145 Nisi. Street,Timaukel,ST0 6EJ,Greece,-89.62072,-76.72782
Eden,Isabelle,diam@fringillaest.ca,"432-2455 Eu, Rd.",Langholm,6171,Syria,25.04327,116.50289
Amos,Ocean,libero.Morbi.accumsan@Integer.edu,"P.O. Box 541, 628 Non Rd.",La Cruz,24732,Ethiopia,68.38597,-125.8226
Elmo,Vivien,per.conubia.nostra@suscipitestac.ca,867-4235 Orci Rd.,Völklingen,45008,Belize,-5.20984,90.83774
Duncan,Brenda,dui@Uttinciduntorci.co.uk,Ap #807-1916 Urna Ave,Market Drayton,4872,New Zealand,38.07122,-4.92999
Hermione,William,imperdiet.ornare.In@ut.org,342-9510 Nec Av.,Muiden,94034,French Polynesia,-15.38608,109.60478
Clarke,Illiana,et.nunc.Quisque@utmolestiein.edu,"Ap #627-1588 Enim, Rd.",Pemberton,94397,Kyrgyzstan,89.07198,2.78182
Whitney,Howard,ipsum.Suspendisse@in.net,"P.O. Box 791, 6831 Ipsum. St.",Mühlheim am Main,7117,Kenya,5.55845,165.51602
Felix,Madison,varius@ultricesVivamusrhoncus.edu,Ap #894-6994 Per Av.,Kamarhati,09484,Guadeloupe,68.65439,97.01348
Teegan,Germaine,augue@dolor.ca,550-4960 Vitae Road,Petrolina,133215,Costa Rica,-60.65017,-5.38754
Wang,Paki,est@sedconsequat.edu,6319 Eleifend Av.,Yellowhead County,01398-767,Cook Islands,-27.10597,-127.36287
Zane,Ira,Suspendisse@ut.net,9026 Lectus. Rd.,Russell,30168,Fiji,-47.9593,85.67998
Gay,Magee,dignissim.tempor.arcu@dapibusrutrum.ca,170-9633 Ante Av.,Grand-Manil,411237,Svalbard and Jan Mayen Islands,-82.87202,52.8887
